Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
New Caledonia,Oceania,Melanesia,Melanesia,2682347064,82.0058408,474000,80.4,75,1.982,271960,,,,1324.33131,0,9863.020534,0,77.7
New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,2.03901E+11,90.81109307,3888000,83.5,80,3.5898,5084300,48.33333333,99.13540649,67.7351532,81330,1,40104.01638,83.43527985,81.75
Nicaragua,Americas,Latin America and the Caribbean,Central America,12257976087,27.86304001,1455000,77.982,70.944,0.9775,6624554,47.25274725,18.35017014,16.51469994,19070,0,1850.385111,17.43243504,74.463
Niger,Africa,Sub-Saharan Africa,Western Africa,13156292048,5.250487687,192000,63.621,61.281,0.0433,24206636,16.95906433,3.274139881,5.144690037,45050,0,543.4993961,4.209414959,62.451
Nigeria,Africa,Sub-Saharan Africa,Western Africa,4.16521E+11,7.469439317,5265000,55.619,53.789,0.3806,206139587,7.222222222,8.30039978,11.99584007,311450,0,2020.577802,10.14811993,54.704
0rth Macedonia,Europe,Southern Europe,Southern Europe,11797104839,79.16775519,758000,77.846,73.794,2.8736,2083380,39.16666667,49.24562073,37.32403183,10510,0,5662.483483,43.28482628,75.82
0rthern Mariana Islands,Oceania,Micronesia,Micronesia,,0,487000,,,0.445,57557,,,,4.8212886,0,0,0,0
0rway,Europe,0rthern Europe,0rthern Europe,3.78194E+11,98.00000439,5879000,84.7,81.2,2.9164,5379475,41.42011834,99.69017792,67.41017151,47340,1,70303.10996,83.55017471,82.95
Oman,Asia,Western Asia,Western Asia,70189256796,92.40844424,3506000,80.343,76.127,2.0031,5106622,2.325581395,55.32564163,29.73579979,82300,1,13744.75275,42.53072071,78.235
Pakistan,Asia,Southern Asia,Southern Asia,2.58005E+11,17.07090203,966000,68.287,66.337,0.9801,220892331,20.1754386,8.320440292,9.554030418,431220,0,1168.010453,8.937235355,67.312
